"Location","year","forst_ha_buff100","forst_ha_buff200","forst_ha_buff20","forst_ha_buff300","forst_ha_buff50","diff_ha_forst_20k_1yr","diff_ha_forst_20k_2yr","diff_ha_forst_20k_3yr","diff_ha_forst_20k_4yr","diff_ha_forst_20k_5yr","diff_ha_forst_50k_1yr","diff_ha_forst_50k_2yr","diff_ha_forst_50k_3yr","diff_ha_forst_50k_4yr","diff_ha_forst_50k_5yr","diff_ha_forst_100k_1yr","diff_ha_forst_100k_2yr","diff_ha_forst_100k_3yr","diff_ha_forst_100k_4yr","diff_ha_forst_100k_5yr","diff_ha_forst_200k_1yr","diff_ha_forst_200k_2yr","diff_ha_forst_200k_3yr","diff_ha_forst_200k_4yr","diff_ha_forst_200k_5yr","diff_ha_forst_300k_1yr","diff_ha_forst_300k_2yr","diff_ha_forst_300k_3yr","diff_ha_forst_300k_4yr","diff_ha_forst_300k_5yr","yrfac","spillprd","spillyr"
"Ekata",2008,124184.666113007,777305.780090895,3064963.04050992,11681688.2476766,25386328.0850595,-246.944651543628,-284.936136400327,417.906333379447,807.319053126499,949.787121316418,-2535.93161395565,3362.24640950561,4397.51437172294,5546.75678846985,12584.6793575324,75.982969706005,75.982969706005,227.948909118,341.923363676004,341.923363676004,123.472325770999,66.4850984920049,797.821181911044,997.276477389038,1168.23815922707,-978.280735000968,-2383.96567448974,-2678.39968209341,-2213.00399270095,-3932.11868225224,"2008","Ekata_2008","N"
"Ekata",2009,124184.666113007,777248.792863616,3064896.55541143,11679266.2905173,25386736.4935217,-66.4850984900258,-313.429750033654,-351.421234890353,351.421234889422,740.833954636473,408.408462192863,-2127.52315176278,3770.65487169847,4805.9228339158,5955.16525066271,0,75.982969706005,75.982969706005,227.948909118,341.923363676004,-56.9872272789944,66.4850984920049,9.49787121301051,740.833954632049,940.289250110043,-2421.95715935156,-3400.23789435253,-4805.92283384129,-5100.35684144497,-4634.96115205251,"2009","Ekata_2009","N"
"Ekata",2010,124184.666113007,777172.80989391,3064402.66610835,11674963.7548576,25378083.9328464,-493.889303083066,-560.374401573092,-807.31905311672,-845.310537973419,-142.468068193644,-8652.56067524105,-8244.15221304819,-10780.0838270038,-4881.90580354258,-3846.63784132525,0,0,75.982969706005,75.982969706005,227.948909118,-75.9829697060632,-132.970196985058,-9.49787121405825,-66.4850984930526,664.850984925986,-4302.53565963916,-6724.49281899072,-7702.77355399169,-9108.45849348046,-9402.89250108413,"2010","Ekata_2010","N"
"Ekata",2011,124184.666113007,777144.316280271,3063927.77254768,11668771.1428266,25365936.1555647,-474.893560670316,-968.782863753382,-1035.26796224341,-1282.21261378704,-1320.20409864374,-12147.7772817388,-20800.3379569799,-20391.929494787,-22927.8611087427,-17029.6830852814,0,0,0,75.982969706005,75.982969706005,-28.4936136390315,-104.476583345095,-161.463810624089,-37.9914848530898,-94.9787121320842,-6192.61203104258,-10495.1476906817,-12917.1048500333,-13895.3855850343,-15301.070524523,"2011","Ekata_2011","N"
"Ekata",2012,124184.666113007,777144.316280271,3063680.82789614,11659463.2290377,25332608.1254774,-246.944651539903,-721.838212210219,-1215.72751529329,-1282.21261378331,-1529.15726532694,-33328.0300872475,-45475.8073689863,-54128.3680442274,-53719.9595820345,-56255.8911959901,0,0,0,0,75.982969706005,0,-28.4936136390315,-104.476583345095,-161.463810624089,-37.9914848530898,-9307.91378889605,-15500.5258199386,-19803.0614795778,-22225.0186389294,-23203.2993739303,"2012","Ekata_2012","N"
"Ekata",2013,124184.666113007,777077.831181778,3063614.34279765,11658646.4121133,25330119.6832196,-66.4850984900258,-313.429750029929,-788.323310700245,-1282.21261378331,-1348.69771227334,-2488.44225787744,-35816.4723451249,-47964.2496268637,-56616.8103021048,-56208.4018399119,0,0,0,0,0,-66.4850984929362,-66.4850984929362,-94.9787121319678,-170.961681838031,-227.948909117025,-816.816924354061,-10124.7307132501,-16317.3427442927,-20619.8784039319,-23041.8355632834,"2013","Ekata_2013","N"
"Ekata",2014,124184.666113007,777077.831181778,3063500.36834308,11658200.0121663,25328827.9727346,-113.974454563111,-180.459553053137,-427.40420459304,-902.297765263356,-1396.18706834642,-1291.71048496664,-3780.15274284407,-37108.1828300916,-49255.9601118304,-57908.5207870714,0,0,0,0,0,0,-66.4850984929362,-66.4850984929362,-94.9787121319678,-170.961681838031,-446.399946993217,-1263.21687134728,-10571.1306602433,-16763.7426912859,-21066.2783509251,"2014","Ekata_2014","N"
"Ekata",2015,124184.666113007,777077.831181778,3063500.36834308,11658200.0121663,25328827.9727346,0,-113.974454563111,-180.459553053137,-427.40420459304,-902.297765263356,0,-1291.71048496664,-3780.15274284407,-37108.1828300916,-49255.9601118304,0,0,0,0,0,0,0,-66.4850984929362,-66.4850984929362,-94.9787121319678,0,-446.399946993217,-1263.21687134728,-10571.1306602433,-16763.7426912859,"2015","Ekata_2015","N"
"Ekata",2016,124184.666113007,777068.333310564,3063357.90027489,11662891.9605456,25349685.2979189,-142.468068196904,-142.468068196904,-256.442522760015,-322.927621250041,-569.872272789944,20857.3251842745,20857.3251842745,19565.6146993078,17077.1724414304,-16250.8576458171,0,0,0,0,0,-9.49787121405825,-9.49787121405825,-9.49787121405825,-75.9829697069945,-75.9829697069945,4691.94837925211,4691.94837925211,4245.54843225889,3428.73150790483,-5879.18228099123,"2016","Ekata_2016","N"
"Ekata",2017,124251.1512115,777134.818409057,3064383.67036591,11665845.798493,25357559.0331546,1025.77009102469,883.302022827789,883.302022827789,769.327568264678,702.842469774652,7873.7352357246,28731.0604199991,28731.0604199991,27439.3499350324,24950.907677155,66.4850984929944,66.4850984929944,66.4850984929944,66.4850984929944,66.4850984929944,66.4850984930526,56.9872272789944,56.9872272789944,56.9872272789944,-9.49787121394183,2953.83794738352,7645.78632663563,7645.78632663563,7199.38637964241,6382.56945528835,"2017","Ekata_2017","N"
