"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"Bikoro","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Kikwit","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Likati","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Luebo","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Mbandaka","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"NKivu","200","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Bikoro","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Boende","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Kikwit","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Likati","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Luebo","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Mbandaka","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"NKivu","200","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Bikoro","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Boende","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Kikwit","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Likati","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Luebo","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Mbandaka","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"NKivu","200","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Bikoro","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Kikwit","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Likati","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Luebo","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Mbandaka","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"NKivu","200","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
"Bikoro","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Boende","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Kikwit","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Likati","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Luebo","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Mbandaka","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"NKivu","200","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",40,1992,NA,"1991_1992","#C8C864"
"Bikoro","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Boende","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Kikwit","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Likati","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Luebo","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Mbandaka","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"NKivu","200","Mosaic tree and shrub (>50%) / herbaceous cover (50%) / tree and shrub (<50%)",100,1992,NA,"1991_1992","#8DA000"
"Bikoro","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Boende","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Kikwit","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Likati","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Luebo","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Mbandaka","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"NKivu","200","Shrub or herbaceous cover, flooded, fresh/saline/brackish water",180,1992,NA,"1991_1992","#00DC83"
"Bikoro","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Boende","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Kikwit","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Likati","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Luebo","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Mbandaka","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"NKivu","200","Shrubland",120,1992,NA,"1991_1992","#966400"
"Kikwit","200","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",150,1992,NA,"1991_1992","#FFEBAF"
"NKivu","200","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",150,1992,NA,"1991_1992","#FFEBAF"
"Bikoro","200","Tree cover, broadleaved, deciduous, closed (>40%)",61,1992,NA,"1991_1992","#00A001"
"Kikwit","200","Tree cover, broadleaved, deciduous, closed (>40%)",61,1992,NA,"1991_1992","#00A001"
"Luebo","200","Tree cover, broadleaved, deciduous, closed (>40%)",61,1992,NA,"1991_1992","#00A001"
"NKivu","200","Tree cover, broadleaved, deciduous, closed (>40%)",61,1992,NA,"1991_1992","#00A001"
"Bikoro","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Kikwit","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Likati","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Luebo","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Mbandaka","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"NKivu","200","Tree cover, broadleaved, deciduous, closed to open (>15%)",60,1992,NA,"1991_1992","#00A000"
"Bikoro","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Boende","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Kikwit","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Likati","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Luebo","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Mbandaka","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"NKivu","200","Tree cover, broadleaved, deciduous, open (15-40%)",62,1992,NA,"1991_1992","#AAC800"
"Bikoro","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Boende","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Kikwit","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Likati","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Luebo","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Mbandaka","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"NKivu","200","Tree cover, broadleaved, evergreen, closed to open (>15%)",50,1992,NA,"1991_1992","#006400"
"Bikoro","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Boende","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Kikwit","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Likati","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Luebo","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Mbandaka","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"NKivu","200","Tree cover, flooded, fresh or brackish water",160,1992,NA,"1991_1992","#00785A"
"Bikoro","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Boende","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Kikwit","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Likati","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Luebo","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"Mbandaka","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"NKivu","200","Tree cover, flooded, saline water",170,1992,NA,"1991_1992","#009678"
"NKivu","200","Tree cover, needleleaved, evergreen, closed to open (>15%)",70,1992,NA,"1991_1992","#003C00"
"Bikoro","200","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Boende","200","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Kikwit","200","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Likati","200","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Mbandaka","200","Tree or shrub cover",12,1992,NA,"1991_1992","#FFFF00"
"Bikoro","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Boende","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
