"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"NKivu","2002","100",2002,1918052.28303388,18849297.4955101,10.1757229068657
"NKivu","2002","20",2002,12936.7087071752,753691.509481904,1.71644612476371
"NKivu","2002","20",2002,12936.7087071752,753691.509481905,1.7164461247637
"NKivu","2002","200",2002,7329842.27064494,75398614.7296953,9.72145482635522
"NKivu","2002","300",2002,15492459.0439406,169645273.176964,9.1322668494157
"NKivu","2002","50",2002,355768.987765019,4712438.35368992,7.5495733007615
"NKivu","2003","100",2003,1916902.98659219,18849297.4955101,10.1696256162798
"NKivu","2003","20",2003,12851.2238478767,753691.509481904,1.70510396975426
"NKivu","2003","200",2003,7328882.94055726,75398614.7296953,9.72018248190815
"NKivu","2003","300",2003,15486370.6222951,169645273.176965,9.12867793619013
"NKivu","2003","50",2003,355588.519728722,4712438.35368993,7.54574369021272
"NKivu","2003","50",2003,355588.519728722,4712438.35368992,7.54574369021273
"NKivu","2004","100",2004,1906065.40609668,18849297.4955101,10.1121296777809
"NKivu","2004","20",2004,10153.7016211236,753691.509481905,1.34719596723378
"NKivu","2004","20",2004,10153.7016211236,753691.509481904,1.34719596723378
"NKivu","2004","200",2004,7317095.52829176,75398614.7296954,9.70454902191984
"NKivu","2004","300",2004,15475058.1259146,169645273.176965,9.12200961224059
"NKivu","2004","50",2004,346137.693617386,4712438.35368993,7.34519303252749
"NKivu","2004","50",2004,346137.693617386,4712438.35368992,7.3451930325275
"NKivu","2005","100",2005,1906663.80011177,18849297.4955101,10.115304300152
"NKivu","2005","20",2005,10153.7016211236,753691.509481904,1.34719596723378
"NKivu","2005","20",2005,10153.7016211236,753691.509481905,1.34719596723378
"NKivu","2005","200",2005,7316896.06362007,75398614.7296954,9.70428447505461
"NKivu","2005","300",2005,15478496.5169218,169645273.176964,9.12403642438983
"NKivu","2005","50",2005,346128.195299686,4712438.35368993,7.34499147407755
"NKivu","2005","50",2005,346128.195299686,4712438.35368992,7.34499147407757
"NKivu","2006","100",2006,1898685.21324391,18849297.4955101,10.0729760018705
"NKivu","2006","20",2006,9469.82274673546,753691.509481904,1.25645872715816
"NKivu","2006","200",2006,7307264.76947243,75398614.7296955,9.69151064070477
"NKivu","2006","300",2006,15474317.2571339,169645273.176964,9.12157289581066
"NKivu","2006","50",2006,342015.423735657,4712438.35368993,7.25771666525574
"NKivu","2006","50",2006,342015.423735657,4712438.35368992,7.25771666525576
"NKivu","2007","100",2007,1896377.12204285,18849297.4955101,10.0607310298677
"NKivu","2007","20",2007,8719.45564844849,753691.509481904,1.15689981096408
"NKivu","2007","200",2007,7305137.14630767,75398614.7296953,9.68868880747564
"NKivu","2007","300",2007,15489533.562089,169645273.176964,9.13054237941027
"NKivu","2007","50",2007,339688.335899198,4712438.35368992,7.2083348450217
"NKivu","2008","100",2008,1879166.17037074,18849297.49551,9.96942284357479
"NKivu","2008","20",2008,7921.59696166236,753691.509481904,1.05103969754253
"NKivu","2008","200",2008,7291241.10751281,75398614.7296952,9.67025870919775
"NKivu","2008","300",2008,15490929.8147909,169645273.176964,9.13136542191288
"NKivu","2008","50",2008,328109.886623099,4712438.35368992,6.96263509455106
"NKivu","2008","50",2008,328109.886623099,4712438.35368991,6.96263509455107
"NKivu","2009","100",2009,1875737.2776811,18849297.4955101,9.95123175347996
"NKivu","2009","20",2009,7646.14574836714,753691.509481904,1.01449275362319
