"st_loc","near_loc","overlap_percent20","overlap_percent50","overlap_percent100","overlap_percent200","overlap_percent300"
"Olloba02","Ekata",22.8319616160178,66.9280504547315,83.3176654934786,91.6407190240365,94.4249149290131
"Olloba02","Kikwit",0,0,0,0,0
"Olloba02","Bikoro",0,0,0,0,10.668891259924
"Olloba02","Mbandza",10.7394976301472,60.1707287007922,79.8237269230812,89.8796385475248,93.2491275169624
"Olloba02","Olloba02",100,100,100,100,100
"Olloba02","Nkivu",0,0,0,0,0
"Olloba02","Booue",0,0,0,19.6541700051697,43.5076194870793
"Olloba02","Likati",0,0,0,0,0
"Olloba02","Boende",0,0,0,0,0
"Olloba02","Mvoula",0,27.2138734281324,61.6277658345901,80.5811899797383,87.0257688125068
"Olloba02","Mekouka",0,0,2.43555544051327,43.2826918723956,61.371227570387
"Mvoula","Olloba02",0,27.2138734281324,61.6277658345901,80.5811899797383,87.0257688125068
"Mbandza","Olloba02",10.7394976301472,60.1707287007922,79.8237269230812,89.8796385475248,93.2491275169624
"Odzala","Olloba02",0,9.02087479037114,49.3826983675252,74.1274694203847,82.6836702251034
"Mbandaka22","Olloba02",0,0,0,0,16.2853761649346
"Kikwit","Olloba02",0,0,0,0,0
"Luebo","Olloba02",0,0,0,0,0
"Mbandaka20","Olloba02",0,0,0,0,16.1728856607998
"Bikoro","Olloba02",0,0,0,0,10.668891259924
"Likati","Olloba02",0,0,0,0,0
"Boende","Olloba02",0,0,0,0,0
"Olloba01","Olloba02",100,100,100,100,100
"Olloba02","Olloba01",100,100,100,100,100
